destination,cabin_type,activity_interests_cultural,activity_interests_nature_outdoors,activity_interests_entertainment,activity_interests_shopping,activity_interests_recreation,activity_interests_nightlife,hotel_preferences,food_preferences_asian,food_preferences_european,food_preferences_american_latin,food_preferences_middle_eastern,food_preferences_african,food_preferences_caribbean,food_preferences_local_cuisine,user_id
8,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,142
9,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,166
1,4,1,0,1,1,1,0,1,0,1,0,0,0,0,0,5
1,4,0,1,1,0,1,1,3,0,0,0,0,0,0,0,53
9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,102
8,3,0,1,0,0,1,0,2,1,0,0,0,0,0,0,32
9,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,66
2,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,158
2,1,1,1,1,1,1,1,3,1,0,0,0,0,1,0,3
10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13
9,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,33
2,4,1,1,1,1,1,1,2,0,0,0,0,0,1,0,83
6,2,0,1,0,0,0,1,1,1,0,0,1,0,1,0,100
8,4,0,0,0,0,0,1,2,0,0,0,0,1,0,0,31
10,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
2,4,1,1,1,1,1,1,2,1,0,0,0,0,0,1,198
1,3,1,0,1,1,1,1,2,1,0,0,0,0,0,1,198
1,4,0,1,1,0,1,1,3,1,1,0,0,0,1,0,151
7,4,0,0,0,0,0,0,2,0,0,0,1,0,0,1,69
5,1,0,1,0,1,0,1,3,0,1,0,1,0,1,0,26
4,2,0,1,0,1,0,1,1,0,1,1,1,0,1,0,172
2,3,1,0,1,1,1,0,2,0,1,0,0,1,0,0,183
5,2,0,0,1,0,0,0,3,0,1,0,1,0,0,0,122
4,2,0,1,0,1,1,1,3,0,1,0,1,0,1,1,94
1,2,1,1,0,0,0,1,3,0,0,0,0,0,0,0,199
2,3,1,1,1,1,1,1,2,1,0,1,0,0,1,0,98
7,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,64
6,3,1,1,1,1,0,1,3,0,1,0,1,1,1,0,136
9,3,0,1,0,0,0,0,3,0,0,0,0,1,1,0,97
4,2,0,0,0,1,0,1,1,0,1,0,1,0,1,1,94
5,2,0,1,0,1,0,1,3,0,0,0,1,0,1,0,9
6,4,0,1,0,1,0,1,3,0,0,0,1,0,1,0,9
2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,29
3,4,1,1,1,1,1,1,3,0,1,1,1,1,1,1,114
8,4,1,1,1,0,1,0,2,0,1,0,0,0,0,1,168
9,4,1,0,0,1,1,0,2,0,0,0,0,0,0,0,47
6,3,1,1,0,1,0,1,3,0,1,0,1,0,0,1,8
6,3,0,1,1,1,0,1,2,0,1,0,1,0,1,0,41
4,1,0,1,0,1,0,1,2,0,1,0,0,0,1,0,143
4,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,17
8,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,30
4,2,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
5,1,1,1,0,1,0,1,3,0,1,0,1,0,1,0,34
6,1,1,1,1,1,0,1,3,0,1,0,1,0,1,1,94
1,4,1,1,1,1,0,0,1,0,0,0,0,0,1,0,164
10,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,35
10,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,137
3,3,1,1,0,1,1,1,2,1,1,1,1,1,1,0,174
2,4,1,1,1,1,1,1,3,0,0,0,0,0,0,1,108
2,1,1,1,1,1,1,0,3,0,0,0,0,0,1,0,164
6,4,0,1,1,1,0,1,1,0,1,0,1,1,1,0,17
10,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,161
10,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18
9,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,42
8,3,0,0,0,0,0,1,2,0,1,0,0,1,0,0,31
7,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,111
1,4,1,1,0,1,1,1,1,0,0,0,0,0,1,0,29
9,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,50
1,2,0,1,1,1,1,1,3,0,0,0,0,0,0,1,101
8,1,0,1,1,0,0,0,3,0,0,0,0,0,1,0,122
3,2,1,1,1,1,1,1,2,1,1,0,1,1,1,1,15
2,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,163
7,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,160
1,3,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
2,3,0,1,1,1,1,1,2,0,0,0,0,0,0,0,53
9,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,55
4,1,0,1,0,1,0,1,3,0,1,0,1,0,1,0,26
2,4,1,1,1,0,0,1,1,0,1,0,0,0,0,0,76
6,3,0,0,0,1,0,1,3,0,1,0,1,0,1,0,57
2,4,1,1,1,1,1,0,3,0,0,0,0,0,0,0,6
5,4,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
2,3,1,1,1,1,1,1,1,0,0,0,1,1,0,0,127
9,3,0,0,0,1,0,1,3,0,0,0,0,0,0,0,145
2,4,1,1,1,1,1,1,2,0,0,0,0,0,0,0,29
9,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,19
3,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,130
4,3,1,1,0,1,1,0,3,0,1,0,1,0,0,0,167
4,2,0,1,0,1,0,1,3,1,1,0,1,0,1,0,133
6,4,0,1,0,0,0,1,3,0,1,0,1,0,1,0,87
10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
9,4,0,1,1,0,0,0,2,0,0,1,1,0,0,0,142
7,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,47
2,3,1,1,0,1,1,1,3,0,0,0,0,1,0,0,49
9,3,0,1,0,0,0,0,3,0,1,1,0,1,0,0,52
6,4,0,1,0,1,0,1,3,0,1,0,1,0,0,0,176
1,3,1,1,1,1,1,0,3,0,0,0,1,1,0,0,49
10,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,80
9,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,16
2,2,0,1,1,1,1,1,3,0,0,0,0,0,0,0,53
7,2,0,0,0,0,1,1,3,0,0,0,0,0,0,0,153
5,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,70
7,3,0,1,0,0,0,0,2,0,0,0,0,0,0,1,194
2,4,1,0,1,1,1,1,3,0,0,0,1,0,1,0,83
9,3,1,0,0,0,1,1,3,0,0,0,0,0,0,0,165
7,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,68
3,2,1,1,1,1,1,0,2,1,1,1,1,0,1,1,190
9,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,153
6,2,0,1,0,1,0,1,2,1,1,0,1,0,0,0,144
5,1,0,1,0,1,0,1,3,0,1,0,0,0,1,0,143
3,3,0,1,1,1,1,1,3,1,1,1,0,1,0,1,195
10,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,110
9,2,0,0,0,0,0,0,3,0,1,1,0,0,1,0,192
6,4,0,1,0,0,0,1,1,0,1,1,1,0,1,1,28
6,3,0,1,1,1,0,1,1,0,1,0,1,0,1,0,41
5,4,0,1,0,1,0,0,3,0,1,0,1,0,1,0,74
5,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,94
7,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,106
5,3,0,0,0,1,0,0,1,0,0,1,1,0,1,1,107
1,2,1,1,1,1,1,1,2,0,0,1,0,0,0,0,48
3,3,1,1,1,1,1,1,3,1,1,1,0,1,1,1,7
6,4,0,1,0,1,0,0,1,0,1,0,0,0,1,0,44
3,2,1,1,0,1,1,1,1,0,0,1,1,1,1,0,120
1,3,1,1,1,1,1,0,2,1,0,0,0,0,0,0,125
8,3,0,0,1,0,0,0,2,1,0,0,0,0,0,0,13
10,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
5,2,0,1,0,1,0,0,2,1,1,0,1,0,0,0,144
2,4,1,1,1,1,0,0,3,0,0,1,0,1,0,0,49
4,2,0,1,1,1,0,1,3,1,1,0,1,0,1,0,91
3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,134
2,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
8,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,145
7,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,55
6,1,0,1,0,1,0,1,2,0,1,0,1,0,1,0,26
4,3,0,1,0,0,0,1,3,0,1,0,1,1,1,0,51
9,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,184
1,4,1,1,1,1,0,1,1,0,0,0,0,0,0,0,29
3,2,1,1,1,0,1,1,2,1,1,0,1,1,0,1,15
1,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
2,2,1,1,1,1,1,1,3,0,0,0,0,1,0,0,127
9,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,67
6,3,0,1,0,0,1,1,3,0,1,0,0,0,1,0,87
2,3,1,1,1,1,1,1,1,0,0,0,0,1,0,0,127
1,2,0,1,1,0,1,0,2,0,0,0,0,0,0,0,142
7,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,55
3,1,1,1,0,1,0,1,3,0,1,0,1,1,1,1,191
1,3,1,1,1,1,1,0,3,0,0,0,0,0,0,0,6
2,3,1,1,1,0,0,1,2,0,1,0,0,0,0,0,76
6,3,0,1,0,1,0,1,3,0,1,1,1,0,1,0,89
9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,37
10,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,185
1,4,1,0,1,1,1,1,1,0,0,0,0,0,0,0,5
2,1,1,1,1,1,1,1,3,1,0,0,1,0,0,0,3
9,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,37
3,3,1,1,1,1,1,1,3,1,1,1,0,1,1,1,7
10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,102
4,1,1,1,0,0,0,1,2,0,0,1,1,0,1,0,14
9,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18
8,4,0,1,0,0,0,0,2,0,0,0,0,0,0,1,194
9,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,69
2,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
6,2,0,1,0,1,0,1,1,1,1,0,0,0,1,0,11
1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,1,82
7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27
2,4,1,1,1,1,1,1,2,1,0,0,0,0,0,0,78
1,3,1,1,1,1,0,1,3,0,1,0,0,0,1,0,24
8,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4
5,4,0,0,0,1,0,1,3,0,1,0,1,0,0,0,57
2,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
7,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,145
4,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,192
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,141
10,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,16
4,4,1,1,0,1,1,1,2,0,1,1,1,0,1,0,10
7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
6,3,0,1,0,1,1,0,1,0,1,1,1,0,1,0,10
2,4,1,1,1,1,1,1,3,1,0,0,0,0,0,0,78
6,2,1,1,0,1,0,1,2,0,1,0,1,0,0,0,34
5,4,0,1,0,1,0,1,2,0,1,0,1,0,1,0,77
7,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,30
6,3,0,1,0,1,0,1,3,1,1,0,1,0,1,1,131
1,3,1,1,0,1,1,0,3,0,0,0,0,0,0,1,156
3,4,0,1,1,0,1,0,2,1,0,1,1,0,1,1,190
10,2,0,0,0,0,0,1,3,0,0,0,0,0,1,0,55
7,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,35
3,1,1,0,0,1,1,0,3,1,1,1,1,1,1,0,174
10,4,0,0,0,0,0,0,2,0,1,0,0,0,0,1,69
3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,20
8,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,112
6,1,0,0,0,1,0,1,2,0,1,0,1,0,1,0,75
8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
3,4,1,1,0,1,1,1,1,1,1,1,1,0,1,1,90
3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,134
5,4,1,1,0,0,0,1,2,0,0,0,1,0,1,0,14
6,2,0,1,0,1,0,0,2,0,1,1,1,0,1,0,172
7,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,33
10,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,30
4,2,0,1,1,1,0,1,1,1,1,0,1,1,1,0,91
8,3,0,0,0,1,0,0,3,0,0,1,1,0,1,0,192
10,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,47
10,4,1,0,0,0,0,0,3,0,1,0,0,0,0,0,79
3,2,1,1,1,1,1,1,2,0,1,1,1,0,0,1,56
4,3,1,0,0,1,0,1,3,0,1,0,1,0,1,1,200
8,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27
1,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
10,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30
7,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,35
3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,126
7,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,47
7,1,1,0,1,1,0,0,3,0,1,1,0,0,0,0,183
1,2,0,1,1,1,1,1,2,0,0,0,1,0,0,0,54
2,1,1,1,0,1,1,1,2,0,0,0,0,0,1,0,38
9,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,188
2,3,1,1,1,0,1,1,3,0,0,0,0,0,1,0,83
3,2,1,1,0,1,0,1,2,1,1,1,1,0,1,1,90
7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
8,3,1,0,0,0,0,0,3,0,0,0,0,0,1,0,66
7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
8,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,154
1,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
5,2,0,1,0,1,0,1,2,0,1,0,1,0,1,0,26
2,3,1,1,1,1,0,0,2,1,0,0,0,1,1,0,125
9,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,145
9,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,145
3,4,1,0,1,1,1,1,3,1,1,1,1,1,1,0,174
3,4,0,1,1,1,1,1,2,1,1,1,1,1,0,0,72
4,2,0,1,0,1,1,0,1,0,1,0,1,0,0,0,2
10,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27
7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,103
1,3,1,1,1,1,1,0,3,0,0,0,1,0,0,0,6
10,2,0,0,0,0,0,1,3,0,1,0,1,0,0,0,67
6,4,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
7,4,0,0,0,0,0,0,3,0,1,0,0,1,1,0,97
5,3,1,1,0,1,0,1,1,0,0,0,1,0,1,0,34
2,4,1,1,1,1,1,1,3,0,0,0,0,0,1,0,83
6,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,118
8,4,0,0,1,0,0,0,2,0,0,0,1,0,0,1,69
6,2,0,1,0,1,0,1,2,0,0,0,1,0,1,1,94
5,2,0,1,1,1,0,1,1,0,1,0,1,0,0,0,118
6,3,0,1,0,1,0,1,3,1,1,0,0,0,1,0,133
2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,12
8,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,122
8,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,68
9,2,0,0,1,0,0,1,2,0,0,0,0,0,0,1,138
8,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,153
2,3,1,1,0,1,0,1,1,0,0,0,1,0,0,0,118
9,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,173
3,3,1,1,1,1,0,1,1,1,1,0,1,1,1,1,15
4,2,0,1,0,1,0,1,2,0,1,0,1,0,0,0,118
2,4,1,1,1,0,1,1,3,0,1,0,0,0,0,1,168
1,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,189
10,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,145
2,3,1,0,1,0,1,1,3,0,0,1,0,0,0,0,148
8,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,65
5,2,1,0,1,0,0,1,1,0,1,0,1,0,1,0,14
1,3,0,1,1,1,1,1,1,0,0,1,1,0,0,0,178
2,4,0,1,1,1,1,1,2,1,0,1,0,1,1,0,152
8,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,30
1,3,1,1,1,1,0,1,3,0,0,1,0,0,0,0,104
3,4,1,1,1,0,1,1,1,0,1,1,1,1,1,0,56
9,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,19
1,2,1,0,1,0,1,1,3,0,0,0,0,0,0,0,165
1,3,1,1,1,0,1,0,3,0,0,0,0,0,0,0,6
6,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,118
9,2,0,0,0,1,0,0,3,0,1,0,0,0,0,0,105
7,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
4,4,0,0,0,1,0,0,1,0,1,0,1,0,1,1,28
10,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,22
1,3,1,1,1,1,1,1,3,0,0,0,1,0,0,0,54
3,4,1,1,1,1,0,1,3,1,1,0,1,1,0,1,15
8,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,37
5,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,21
10,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,123
8,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
4,1,0,1,0,1,0,1,3,0,1,0,0,1,1,0,143
3,1,1,1,1,0,0,1,3,1,1,1,1,1,1,1,62
5,3,1,1,0,1,0,1,1,0,0,1,1,0,1,0,120
7,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,45
8,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,128
5,4,0,1,0,1,0,1,2,0,1,0,1,0,1,0,77
2,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,3
9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,102
9,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,68
7,4,0,0,0,0,0,1,3,0,0,0,1,1,0,0,106
6,3,0,0,0,1,0,1,2,0,0,0,1,1,0,1,170
5,4,1,1,0,0,0,1,3,0,1,0,1,0,0,0,115
3,2,1,1,1,1,1,1,2,1,1,1,0,1,0,1,7
3,3,1,0,1,1,1,1,3,0,1,0,1,1,1,1,114
2,4,1,0,1,1,1,1,2,0,0,0,0,0,0,0,5
4,1,0,1,0,0,0,1,3,0,1,0,1,0,1,1,94
2,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,5
9,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,100
2,4,1,1,0,1,1,1,3,0,0,0,0,0,0,0,156
6,1,0,1,0,1,0,1,2,0,1,0,1,0,1,0,26
5,3,0,1,0,1,0,0,1,1,1,0,1,0,1,0,159
8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
9,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,19
2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,157
9,4,0,1,0,1,0,0,1,0,0,1,0,0,0,0,33
8,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,145
8,3,0,0,1,0,0,1,2,0,0,1,1,0,0,0,45
2,4,1,1,1,1,1,0,2,0,0,0,0,1,0,0,49
9,1,0,1,0,0,0,1,3,0,1,0,0,0,0,0,19
10,2,0,0,0,0,0,0,3,0,0,0,1,0,0,1,22
7,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,32
7,4,0,0,0,0,1,0,3,1,1,0,0,0,0,0,68
3,2,1,1,1,0,0,1,2,1,0,1,1,1,1,1,130
3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,72
9,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,160
7,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27
4,2,0,1,0,1,0,1,2,1,1,0,1,0,1,0,11
2,4,0,1,1,1,1,1,3,0,0,0,0,1,0,0,49
7,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,39
2,2,1,1,1,1,1,1,2,1,0,0,1,0,0,0,3
8,4,1,0,0,0,0,0,3,0,1,0,0,0,0,0,79
9,4,0,0,0,0,0,0,2,0,1,0,0,0,0,1,69
9,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,150
1,3,1,1,1,1,1,1,1,0,0,0,0,1,1,0,127
4,4,0,1,0,1,0,0,2,0,0,0,1,0,1,0,44
5,1,0,1,0,1,0,1,3,0,1,0,1,0,1,0,26
4,2,0,1,1,1,0,1,2,1,1,1,1,0,1,0,91
7,4,0,0,0,0,1,0,3,0,0,1,0,1,0,0,179
9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,102
1,2,1,0,1,1,0,1,2,0,0,1,0,0,1,0,61
2,1,1,0,1,0,1,0,3,0,0,1,0,0,0,0,148
4,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,17
3,4,0,1,1,0,1,1,3,1,1,1,1,1,1,1,195
